X,Y,fid,New Name,Lon,Lat,Path,RelPath,Images,File Name Old,Name,Category,Location,Address,Year of Installation,Medium,Installation & Maintenance,Artist,Other Details,Latitude,Longitude,layer,icon_url
77.5897001,12.9781218997222,"69",076.jpg,77.5897001,12.9781218997222,D:/Research Grant/Images First Batch\076.jpg,./Images First Batch/076.jpg,"<img src = ""./Images First Batch/076.jpg"" width=""300"" height=""225""/>",20210822_070244,Jawaharlal Nehru,Politics,Public building,Vidhana Soudha,"1991",Bronze,Govt of Karnataka,,,,,First Batch Statues and Sculptures,./0.png
77.5719924997222,12.9487287,"70",078.jpg,77.5719924997222,12.9487287,D:/Research Grant/Images First Batch\078.jpg,./Images First Batch/078.jpg,"<img src = ""./Images First Batch/078.jpg"" width=""300"" height=""225""/>",20220524_110332,Purandara dasa,Religious,Public building,"Uttaradi math, Pampa mahakavi road, Shankarapura ","2020",Stone,Sri Srinivasa Utsava Balaga,,,,,First Batch Statues and Sculptures,./0.png
77.5722154,12.9898600997222,"71",079.jpg,77.5722154,12.9898600997222,D:/Research Grant/Images First Batch\079.jpg,./Images First Batch/079.jpg,"<img src = ""./Images First Batch/079.jpg"" width=""300"" height=""225""/>",20210822_090629,Rajiv Gandhi,Politics,Traffic island ,"Paltform road, Sheshadripuram, near Mantri mall","2001",Bronze,All India Congress Committee,,,,,First Batch Statues and Sculptures,./0.png
77.5710464997222,13.0084777997222,"72",080.jpg,77.5710464997222,13.0084777997222,D:/Research Grant/Images First Batch\080.jpg,./Images First Batch/080.jpg,"<img src = ""./Images First Batch/080.jpg"" width=""300"" height=""225""/>",20220424_074722,Dr. Rajkumar,Movies,Park,"Gokak Movement Memorial Circle, 18th cross, Malleshwaram","2018",,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.5456044997222,12.9771994997222,"73",081.jpg,77.5456044997222,12.9771994997222,D:/Research Grant/Images First Batch\081.jpg,./Images First Batch/081.jpg,"<img src = ""./Images First Batch/081.jpg"" width=""300"" height=""225""/>",20220201_144331,Dr. Rajkumar,Movies,Street corner,"Adjacent to Veeresha theatre, Magadi road","2010",Fiber glass,Auto and Matador Drivers Association ,,,,,First Batch Statues and Sculptures,./0.png
77.5459383,12.9944723,"74",082.jpg,77.5459383,12.9944723,D:/Research Grant/Images First Batch\082.jpg,./Images First Batch/082.jpg,"<img src = ""./Images First Batch/082.jpg"" width=""300"" height=""225""/>",20220610_112158,Dr. Rajkumar,Movies,Street corner," Shivanagara, Basaveshwaranagar","2014",,Kasturi Kannadigara Yuakara Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5455709,12.9887505997222,"75",083.jpg,77.5455709,12.9887505997222,D:/Research Grant/Images First Batch\083.jpg,./Images First Batch/083.jpg,"<img src = ""./Images First Batch/083.jpg"" width=""300"" height=""225""/>",20220610_112753,Dr. Rajkumar,Movies,Street corner,"Shivanagara, Basaveshwaranagar",,,Karnataka Rakshana Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5696363997222,12.9464275,"76",084.jpg,77.5696363997222,12.9464275,D:/Research Grant/Images First Batch\084.jpg,./Images First Batch/084.jpg,"<img src = ""./Images First Batch/084.jpg"" width=""300"" height=""225""/>",20210629_144905 Givindappa road gandhi bazar,Dr. Rajkumar,Movies,Street corner,"Benne Govindappa Street, Gandhi Bazar","2010",,Samruddhi Dr Raj Kannadigara Sangha,,,,,First Batch Statues and Sculptures,./0.png
77.5679822,12.9688198997222,"77",085.jpg,77.5679822,12.9688198997222,D:/Research Grant/Images First Batch\085.jpg,./Images First Batch/085.jpg,"<img src = ""./Images First Batch/085.jpg"" width=""300"" height=""225""/>",20220828_100638,Dr. Rajkumar,Movies,Street corner,"Binny Mill Circle, Cottonpet","2007",Bronze,Dr. Rajkumar Abhimani Devarugala Balaga,,,,,First Batch Statues and Sculptures,./0.png
77.5591517997222,12.9570662997222,"78",086.jpg,77.5591517997222,12.9570662997222,D:/Research Grant/Images First Batch\086.jpg,./Images First Batch/086.jpg,"<img src = ""./Images First Batch/086.jpg"" width=""300"" height=""225""/>",20220923_100725,Dr. Rajkumar,Movies,Street corner,"4th Main road, Chamarajapete",,,,,,,,First Batch Statues and Sculptures,./0.png
77.5377232997222,12.9790729,"79",088.jpg,77.5377232997222,12.9790729,D:/Research Grant/Images First Batch\088.jpg,./Images First Batch/088.jpg,"<img src = ""./Images First Batch/088.jpg"" width=""300"" height=""225""/>",20211030_175030 22 cross govindaraja nagar,Dr. Rajkumar,Movies,Street corner,"22nd cross, Govindaraja Nagara ","2016",,Nisarga Kannada Cultural Association,,,,,First Batch Statues and Sculptures,./0.png
